,0
06:00,7.0
06:01,7.0
06:02,7.0
06:03,7.0
06:04,7.0
06:05,7.0
06:06,7.0
06:07,7.0
06:08,7.0
06:09,7.0
06:10,7.0
06:11,7.0
06:12,7.0
06:13,7.0
06:14,7.0
06:15,7.0
06:16,7.0
06:17,7.0
06:18,7.0
06:19,7.0
06:20,7.0
06:21,7.0
06:22,7.0
06:23,7.0
06:24,7.0
06:25,7.0
06:26,7.0
06:27,7.0
06:28,7.0
06:29,7.0
06:30,7.0
06:31,7.0
06:32,7.0
06:33,7.133333333333333
06:34,7.2666666666666675
06:35,7.2666666666666675
06:36,7.133333333333333
06:37,7.0
06:38,7.0
06:39,7.133333333333333
06:40,7.444444444444445
06:41,7.977777777777777
06:42,8.244444444444444
06:43,8.4
06:44,8.533333333333333
06:45,8.533333333333333
06:46,8.566666666666666
06:47,8.3
06:48,8.5
06:49,8.866666666666667
06:50,9.511111111111111
06:51,10.044444444444444
06:52,10.61111111111111
06:53,11.433333333333334
06:54,12.144444444444446
06:55,12.422222222222222
06:56,11.955555555555554
06:57,11.911111111111111
06:58,12.333333333333334
06:59,13.222222222222223
07:00,13.466666666666669
07:01,13.0
07:02,12.244444444444444
07:03,11.666666666666666
07:04,11.444444444444446
07:05,11.466666666666665
07:06,11.355555555555554
07:07,10.955555555555556
07:08,10.133333333333331
07:09,9.733333333333334
07:10,9.622222222222224
07:11,9.822222222222223
07:12,9.977777777777778
07:13,10.11111111111111
07:14,10.555555555555555
07:15,11.177777777777777
07:16,11.977777777777778
07:17,12.57777777777778
07:18,13.11111111111111
07:19,14.055555555555554
07:20,15.388888888888891
07:21,16.76666666666667
07:22,17.622222222222224
07:23,18.6
07:24,19.2
07:25,19.755555555555553
07:26,20.111111111111107
07:27,21.044444444444444
07:28,22.088888888888885
07:29,22.711111111111116
07:30,22.888888888888886
07:31,23.22222222222222
07:32,23.788888888888884
07:33,24.76666666666667
07:34,25.055555555555554
07:35,24.888888888888886
07:36,23.77777777777778
07:37,23.111111111111107
07:38,22.33333333333333
07:39,21.84444444444444
07:40,20.91111111111111
07:41,19.666666666666664
07:42,18.666666666666664
07:43,18.55555555555555
07:44,19.144444444444442
07:45,19.566666666666666
07:46,19.544444444444444
07:47,19.644444444444442
07:48,20.0
07:49,20.666666666666664
07:50,21.155555555555555
07:51,21.488888888888887
07:52,21.799999999999997
07:53,22.711111111111112
07:54,24.066666666666663
07:55,25.71111111111111
07:56,27.266666666666662
07:57,28.93333333333333
07:58,30.333333333333336
07:59,32.06666666666666
08:00,33.33333333333333
08:01,34.64444444444444
08:02,35.33333333333333
08:03,36.266666666666666
08:04,37.62222222222222
08:05,39.044444444444444
08:06,40.86666666666666
08:07,42.288888888888884
08:08,43.6
08:09,44.8
08:10,46.2
08:11,47.91111111111111
08:12,49.822222222222216
08:13,52.28888888888888
08:14,54.88888888888888
08:15,57.222222222222214
08:16,58.64444444444443
08:17,60.33333333333333
08:18,62.4
08:19,64.86666666666666
08:20,66.8
08:21,67.87777777777777
08:22,68.32222222222222
08:23,69.21111111111111
08:24,70.57777777777777
08:25,72.42222222222223
08:26,73.82222222222222
08:27,75.02222222222221
08:28,76.37777777777778
08:29,77.75555555555556
08:30,79.48888888888888
08:31,81.08888888888889
08:32,82.57777777777778
08:33,83.86666666666666
08:34,85.8111111111111
08:35,87.52222222222221
08:36,88.45555555555555
08:37,88.24444444444444
08:38,88.0
08:39,88.17777777777778
08:40,88.84444444444445
08:41,89.64444444444445
08:42,90.6888888888889
08:43,91.86666666666667
08:44,93.13333333333333
08:45,93.84444444444443
08:46,93.79999999999998
08:47,93.46666666666667
08:48,93.11111111111111
08:49,92.7111111111111
08:50,91.84444444444442
08:51,90.39999999999999
08:52,89.66666666666666
08:53,89.46666666666667
08:54,90.4
08:55,90.77777777777777
08:56,91.02222222222223
08:57,91.35555555555555
08:58,91.35555555555555
08:59,90.84444444444445
09:00,89.56666666666665
09:01,88.25555555555556
09:02,87.72222222222221
09:03,87.33333333333334
09:04,86.6
09:05,85.42222222222222
09:06,84.04444444444442
09:07,83.04444444444444
09:08,82.17777777777778
09:09,81.48888888888888
09:10,80.79999999999998
09:11,79.97777777777777
09:12,78.44444444444444
09:13,77.22222222222221
09:14,75.6
09:15,74.39999999999999
09:16,72.8
09:17,72.4222222222222
09:18,72.28888888888889
09:19,72.82222222222221
09:20,72.48888888888888
09:21,72.4
09:22,72.4
09:23,72.53333333333333
09:24,72.22222222222221
09:25,71.39999999999999
09:26,70.84444444444443
09:27,71.26666666666667
09:28,71.4
09:29,71.44444444444443
09:30,70.28888888888888
09:31,69.93333333333332
09:32,69.93333333333332
09:33,70.33333333333333
09:34,70.66666666666666
09:35,70.75555555555555
09:36,71.2
09:37,71.44444444444443
09:38,71.39999999999999
09:39,71.3111111111111
09:40,70.44444444444443
09:41,69.08888888888887
09:42,68.51111111111109
09:43,67.66666666666666
09:44,66.64444444444443
09:45,63.73333333333333
09:46,60.82222222222221
09:47,58.62222222222222
09:48,56.844444444444434
09:49,54.89999999999999
09:50,51.966666666666654
09:51,48.811111111111096
09:52,46.82222222222221
09:53,44.04444444444443
09:54,41.64444444444443
09:55,38.04444444444442
09:56,35.79999999999999
09:57,33.688888888888876
09:58,32.1111111111111
09:59,30.44444444444443
10:00,28.311111111111096
10:01,26.088888888888874
10:02,23.87777777777776
10:03,21.899999999999984
10:04,20.499999999999982
10:05,19.51111111111109
10:06,18.51111111111109
10:07,17.466666666666647
10:08,16.066666666666652
10:09,14.37777777777776
10:10,12.733333333333315
10:11,11.422222222222205
10:12,10.55555555555554
10:13,9.37777777777776
10:14,8.155555555555539
10:15,7.333333333333316
10:16,6.999999999999983
10:17,6.999999999999983
10:18,6.999999999999983
10:19,7.266666666666649
10:20,7.266666666666649
10:21,7.266666666666649
10:22,6.999999999999983
10:23,6.999999999999983
10:24,6.999999999999983
10:25,6.999999999999983
10:26,6.999999999999983
10:27,6.999999999999983
10:28,6.999999999999983
10:29,6.999999999999983
10:30,6.999999999999983
10:31,6.999999999999983
10:32,6.999999999999983
10:33,6.999999999999983
10:34,6.999999999999983
10:35,6.999999999999983
10:36,6.999999999999983
10:37,6.999999999999983
10:38,6.999999999999983
10:39,6.999999999999983
10:40,6.999999999999983
10:41,6.999999999999983
10:42,6.999999999999983
10:43,6.999999999999983
10:44,6.999999999999983
10:45,6.999999999999983
10:46,6.999999999999983
10:47,6.999999999999983
10:48,6.999999999999983
10:49,6.999999999999983
10:50,6.999999999999983
10:51,6.999999999999983
10:52,6.999999999999983
10:53,6.999999999999983
10:54,6.999999999999983
10:55,6.999999999999983
10:56,6.999999999999983
10:57,6.999999999999983
10:58,6.999999999999983
10:59,6.999999999999983
11:00,6.999999999999983
11:01,6.999999999999983
11:02,6.999999999999983
11:03,6.999999999999983
11:04,6.999999999999983
11:05,6.999999999999983
11:06,6.999999999999983
11:07,6.999999999999983
11:08,6.999999999999983
11:09,6.999999999999983
11:10,6.999999999999983
11:11,6.999999999999983
11:12,6.999999999999983
11:13,6.999999999999983
11:14,6.999999999999983
11:15,6.999999999999983
11:16,6.999999999999983
11:17,6.999999999999983
11:18,6.999999999999983
11:19,6.999999999999983
11:20,6.999999999999983
11:21,6.999999999999983
11:22,6.999999999999983
11:23,6.999999999999983
11:24,6.999999999999983
11:25,6.999999999999983
11:26,6.999999999999983
11:27,6.999999999999983
11:28,6.999999999999983
11:29,6.999999999999983
11:30,6.999999999999983
11:31,6.999999999999983
11:32,6.999999999999983
11:33,6.999999999999983
11:34,6.999999999999983
11:35,6.999999999999983
11:36,6.999999999999983
11:37,6.999999999999983
11:38,6.999999999999983
11:39,6.999999999999983
11:40,6.999999999999983
11:41,6.999999999999983
11:42,6.999999999999983
11:43,6.999999999999983
11:44,6.999999999999983
11:45,6.999999999999983
11:46,6.999999999999983
11:47,6.999999999999983
11:48,6.999999999999983
11:49,6.999999999999983
11:50,6.999999999999983
11:51,6.999999999999983
11:52,6.999999999999983
11:53,6.999999999999983
11:54,6.999999999999983
11:55,6.999999999999983
11:56,6.999999999999983
11:57,6.999999999999983
11:58,6.999999999999983
11:59,6.999999999999983
12:00,6.999999999999983
12:01,6.999999999999983
12:02,6.999999999999983
12:03,6.999999999999983
12:04,6.999999999999983
12:05,6.999999999999983
12:06,6.999999999999983
12:07,6.999999999999983
12:08,6.999999999999983
12:09,6.999999999999983
12:10,6.999999999999983
12:11,6.999999999999983
12:12,6.999999999999983
12:13,6.999999999999983
12:14,6.999999999999983
12:15,6.999999999999983
12:16,6.999999999999983
12:17,6.999999999999983
12:18,6.999999999999983
12:19,6.999999999999983
12:20,6.999999999999983
12:21,6.999999999999983
12:22,6.999999999999983
12:23,6.999999999999983
12:24,6.999999999999983
12:25,6.999999999999983
12:26,6.999999999999983
12:27,6.999999999999983
12:28,6.999999999999983
12:29,6.999999999999983
12:30,6.999999999999983
12:31,6.999999999999983
12:32,6.999999999999983
12:33,6.999999999999983
12:34,6.999999999999983
12:35,6.999999999999983
12:36,6.999999999999983
12:37,6.999999999999983
12:38,6.999999999999983
12:39,6.999999999999983
12:40,6.999999999999983
12:41,6.999999999999983
12:42,6.999999999999983
12:43,6.999999999999983
12:44,6.999999999999983
12:45,6.999999999999983
12:46,6.999999999999983
12:47,6.999999999999983
12:48,6.999999999999983
12:49,6.999999999999983
12:50,6.999999999999983
12:51,6.999999999999983
12:52,6.999999999999983
12:53,6.999999999999983
12:54,6.999999999999983
12:55,6.999999999999983
12:56,6.999999999999983
12:57,6.999999999999983
12:58,6.999999999999983
12:59,6.999999999999983
